cenario_id,cenario_nome,cenario_descricao,classificacao_esperada,horario,suporte_vida,energia,comunicacao,habitat,laboratorio,armazenamento,navegacao,propulsao_auxiliar,reserva_percentual,consumo_kwh,geracao_solar_kwh,geracao_auxiliar_kwh,temperatura_interna,temperatura_externa,radiacao,qualidade_comunicacao,velocidade_vento,integridade_sensores,evento_log,alerta_pendente,evento_critico,inconsistencia_proposital,recomendacao_inicial
1,Cenario normal,Todos os sistemas principais estao funcionando dentro dos limites seguros.,NORMAL,00h,1,1,1,1,1,1,1,1,88,40,65,12,22,-63,baixa,95,18,98,Inicializacao do sistema concluida.,,,nao,Manter operacao normal e continuar monitoramento.
1,Cenario normal,Todos os sistemas principais estao funcionando dentro dos limites seguros.,NORMAL,04h,1,1,1,1,1,1,1,1,87,41,64,12,23,-63,baixa,94,18,98,Sensores calibrados.,,,nao,Manter operacao normal e continuar monitoramento.
1,Cenario normal,Todos os sistemas principais estao funcionando dentro dos limites seguros.,NORMAL,08h,1,1,1,1,1,1,1,1,86,42,68,12,23,-62,baixa,93,19,98,Comunicacao estavel com a base.,,,nao,Manter operacao normal e continuar monitoramento.
1,Cenario normal,Todos os sistemas principais estao funcionando dentro dos limites seguros.,NORMAL,12h,1,1,1,1,1,1,1,1,86,43,70,12,24,-61,baixa,92,20,97,Geracao solar dentro do esperado.,,,nao,Manter operacao normal e continuar monitoramento.
1,Cenario normal,Todos os sistemas principais estao funcionando dentro dos limites seguros.,NORMAL,16h,1,1,1,1,1,1,1,1,85,42,66,12,23,-62,baixa,92,19,98,Reserva energetica segura.,,,nao,Manter operacao normal e continuar monitoramento.
1,Cenario normal,Todos os sistemas principais estao funcionando dentro dos limites seguros.,NORMAL,20h,1,1,1,1,1,1,1,1,86,42,68,12,23,-63,baixa,92,18,98,Nenhuma anomalia critica detectada.,,,nao,Manter operacao normal e continuar monitoramento.
2,Cenario de energia baixa,A reserva de energia esta baixa e o consumo esta acima do ideal.,ALERTA,00h,1,1,1,1,1,1,1,1,52,65,42,8,24,-61,media,85,22,95,Consumo energetico elevado identificado.,Reduzir consumo energetico.,,nao,Ativar economia parcial e reduzir consumo do laboratorio.
2,Cenario de energia baixa,A reserva de energia esta baixa e o consumo esta acima do ideal.,ALERTA,04h,1,1,1,1,1,1,1,1,47,70,38,8,24,-61,media,83,22,95,Reserva energetica abaixo do ideal.,Verificar sistemas nao essenciais.,,nao,Ativar economia parcial e reduzir consumo do laboratorio.
2,Cenario de energia baixa,A reserva de energia esta baixa e o consumo esta acima do ideal.,ALERTA,08h,1,1,1,1,1,1,1,1,43,74,35,8,25,-60,media,82,23,95,Geracao solar insuficiente para o consumo atual.,Avaliar desligamento parcial do laboratorio.,,nao,Ativar economia parcial e reduzir consumo do laboratorio.
2,Cenario de energia baixa,A reserva de energia esta baixa e o consumo esta acima do ideal.,ALERTA,12h,1,1,1,1,1,1,1,1,39,78,33,8,25,-60,media,81,24,95,Sistema recomenda reducao de carga.,,,nao,Ativar economia parcial e reduzir consumo do laboratorio.
2,Cenario de energia baixa,A reserva de energia esta baixa e o consumo esta acima do ideal.,ALERTA,16h,1,1,1,1,1,1,1,1,36,80,32,8,25,-61,media,80,23,95,Laboratorio permanece ativo.,,,nao,Ativar economia parcial e reduzir consumo do laboratorio.
2,Cenario de energia baixa,A reserva de energia esta baixa e o consumo esta acima do ideal.,ALERTA,20h,1,1,1,1,1,1,1,1,34,82,31,8,25,-61,media,80,22,95,Monitoramento energetico intensificado.,,,nao,Ativar economia parcial e reduzir consumo do laboratorio.
3,Cenario de falha na comunicacao,O modulo de comunicacao apresenta falha e a qualidade do sinal esta baixa.,ALERTA,00h,1,1,0,1,1,1,1,1,76,46,61,10,23,-60,baixa,88,20,93,Oscilacao no sinal detectada.,Ativar comunicacao de emergencia.,Falha de comunicacao registrada.,nao,Ativar protocolo de comunicacao de emergencia.
3,Cenario de falha na comunicacao,O modulo de comunicacao apresenta falha e a qualidade do sinal esta baixa.,ALERTA,04h,1,1,0,1,1,1,1,1,75,47,60,10,23,-60,baixa,70,20,93,Pacotes de dados perdidos.,Reiniciar antena principal.,,nao,Ativar protocolo de comunicacao de emergencia.
3,Cenario de falha na comunicacao,O modulo de comunicacao apresenta falha e a qualidade do sinal esta baixa.,ALERTA,08h,1,1,0,1,1,1,1,1,74,48,60,10,24,-60,baixa,45,20,93,Comunicacao principal indisponivel.,,,nao,Ativar protocolo de comunicacao de emergencia.
3,Cenario de falha na comunicacao,O modulo de comunicacao apresenta falha e a qualidade do sinal esta baixa.,ALERTA,12h,1,1,0,1,1,1,1,1,73,48,59,10,24,-59,baixa,30,21,93,Canal de emergencia em espera.,,,nao,Ativar protocolo de comunicacao de emergencia.
